method,k,recall,segment_type,silhouette,mean_intra_dist,n_segments
Baseline,5,0.251,Time-Batched,-0.04361165687441826,0.9898097515106201,200
Baseline,10,0.351,Time-Batched,-0.04361165687441826,0.9898097515106201,200
Baseline,20,0.498,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-3,5,0.4045,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-3,10,0.5335,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-3,20,0.675,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-5,5,0.513,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-5,10,0.6495,Time-Batched,-0.04361165687441826,0.9898097515106201,200
HMRC-5,20,0.764,Time-Batched,-0.04361165687441826,0.9898097515106201,200
silhouette_comparison,0,0.0,Coherent,0.00393995177000761,0.0,200
silhouette_comparison,0,0.0,Semi-3,-0.04379357025027275,0.0,200
